IDETOR,IDEAPO
17800847C,74465321S
17801397H,90369387H
17803616Y,11589996C
17804052M,46946925S
17804447D,20885297D
17805854J,14319708T
17806669T,45003877F
17807071B,51968711G
17807960A,75022171N
17808129B,36144461F
17810280T,42425353J
17810351W,03038521Z
17810488R,07795699X
17810893S,68893132J
17811056V,43372937C
17812379Y,90354430B
17813230Y,88622178G
17813364W,04600180L
17815856X,99629472G
17817931S,94096626S
17819560B,53978514K
17820754D,19179554S
17820870X,56649415R
17821945G,34826128B
17822277Z,68076837B
17824617P,27021048G
17824636G,16301903D
17825094W,40309046M
17825144Y,01349580D
17827552E,83181749H
17828055L,31466387H
17828691B,23651786N
17828857Q,47126696H
17831218P,36258891N
17833554K,50680822T
17833741R,15217847N
17835486K,61587900H
17837370L,99237988A
17837633Y,73381099J
17838179T,77064433N
17840347Y,48817624D
17841584R,97925448G
17842255M,45207882W
17843818G,07139827Y
17843864G,04413512L
17844535P,15238591X
17844810F,80204346B
17845434X,95598070L
17848165G,93068092H
17850418A,79274281C
17853678C,44044368N
17853826F,74557530V
17853941F,92746934D
17855182Y,17096016R
17855201W,55563906T
17855220K,55522670A
17855543E,73422915S
17856881A,97780970N
17857023F,84202448T
17857761D,24979983M
17857910C,36362293Y
17858593J,82236058H
17859899P,35016116L
17864328K,62397471N
17864525B,71111973K
17864614P,72738111J
17866111X,37246508D
17866303H,82271976X
17867168D,89869229H
17867281F,61696159Q
17867376X,22079845Y
17868921Z,05678564W
17869050M,11164654V
17869497S,18840350S
17869693G,76430726R
17869704S,65625443A
17873167M,67115960M
17875066H,27081435Q
17875310D,70767117G
17879219P,05596035C
17879334P,75678500J
17881684N,76758733M
17881721A,65282790G
17881781V,10810292Q
17881844B,23368073G
17882264V,62031186W
17883090S,53118604N
17883191R,22399323Z
17883417C,37870716C
17883418K,91396638C
17883986Z,93893044Y
17884033S,72067770F
17884433R,18102179Y
17885869B,97403050M
17886102Z,97321062N
17886147J,17686058R
17888301M,30805667L
17888533F,85936031G
17888641T,72497552B
17890275R,39649720C
17890599A,60423957J
17891401T,40974213N
17891490C,90000594F
17891619B,08324349M
17892958Q,57210381C
17896987C,61733354C
17897065Y,43704803L
17897322X,83108644F
17897608C,46198846B
17897953C,09814522P
17897984M,27910278P
17898137C,65339835D
17898251L,59239331W
17898849L,81418805R
17899160P,37384964M
17899802Y,94272355R
17900053G,31645234V
17900670T,17961526K
17902471F,31916022A
17902686S,29287795D
17903189N,43208248B
17903484P,35661347P
17903792V,56237917L
17904646C,37218547Q
17906137Q,34965650S
17907085K,88194762C
17908266Y,23201821L
17908845X,53420377W
17908863M,17785934B
17910953W,08085009A
17912534L,18999080E
17914402R,37978680E
17914545Y,72377402J
17916330C,32838339C
17918919X,81227247X
17919148D,82889693Q
17919249H,06057471F
17920045D,22022517V
17920515L,42315135B
17921356D,81960941G
17923526V,83176614N
17923996G,40079702V
17925344H,49297005R
17926666Y,36978227T
17927824Z,89253032Z
17929929A,30851222B
17931160S,53180690K
17932032J,30481249Q
17933693H,80307096C
17934128Q,23865073C
17934469N,45626413W
17934704V,31683406D
17935180X,27525112T
17935897Z,70774947Z
17936441Y,27886063N
17936808M,40441198E
17938921W,84885407C
17939946S,10446594V
17941000B,77479497H
17941231N,45036916H
17942204L,98421719G
17942946W,07367840C
17943127E,72593744V
17943914G,93421745T
17943915M,35701512S
17944060N,90293875S
17945340G,68548997G
17948523J,64322295N
17949015E,55492329E
17951104H,42728305D
17951866K,13030418K
17953283N,90970595Y
17955538J,65282274V
17956397K,63858947E
17956824B,79919139G
17959235F,24103061G
17959409C,13075856B
17960450A,89712742T
17960768E,13006226W
17960872B,00575573K
17962000N,95267532Z
17962463S,57357643J
17964305V,64370478X
17964539K,58066280C
17964944N,21493591E
17965198J,23484681W
17966290R,23477869K
17966510Z,97785279C
17966653L,15001797R
17967157V,93945879X
17967223Z,82838005D
17967507E,80750422K
17967676F,82415338J
17969744M,44951805F
17970545R,38709049A
17971348E,68774010P
17972059C,49588969A
17973919V,49664565K
17974157W,86638387D
17976006B,43792140W
17977373K,31305565N
17978325F,51164417C
17979228J,60036884F
17980783G,38309858T
17980832F,52302911Z
17981626L,41513744D
17981999R,49765330T
17982086L,89557012A
17984706V,15560363N
17984855M,54833441S
17984930B,59296071R
17987501Y,42286985J
17988259M,75545689G
17989230X,49199222Z
17991386G,86952679Y
17994584M,22862018H
17996646C,12339879B
17997185F,21884835J
17997255P,70136689Y
17997339T,30346753R
17998551Q,83622222H
17999363T,74779222N
17999507Y,96465979T
17999727L,99071208L
18001347Y,64895027K
18001576M,93905185A
18002606T,92300155M
18004842M,27855621E
18005269H,71489574P
18007146D,23247465P
18007926F,40336849R
18008664D,74234912C
18008919B,77752833E
18009218B,65933069G
18009868V,85414043R
18010505X,28518887Z
18011302W,57248666X
18014974V,85222756M
18015875K,63620025R
18015944K,48313196V
18015961S,30531450P
18016143J,96559005Z
18016170V,27920706V
18018193Q,17579146Q
18018388G,05649228Z
18019140C,74968490J
18019994T,93710632F
18020869R,66221240P
18022111R,87359295M
18023425G,81350327V
18025937D,70946662B
18027137J,83686704P
18028794Z,16825451P
18030363L,37475333F
18030568V,74103795A
18030888S,78566219J
18030932J,90364249D
18032387L,04611235B
18032685H,98114875A
18034987C,75517044V
18035043F,16540250F
18035849P,87955217C
18036703B,83384669D
18038522J,93507867X
18041393D,51923842P
18041798T,08215171P
18042371K,29930627Z
18042684N,37062702L
18043079Q,52698034C
18043626B,14235384V
18046846B,15613315H
18047148Z,93799485B
18047269C,98862588D
18048072H,45881831M
18048304C,50018587G
18048577V,52915066R
18049156K,83532394M
18049866H,62898079W
18050852S,78730485J
18051012Z,62072605K
18052264R,79431863Y
18052762Q,95347942Q
18054594P,22536620R
18054626V,24896000H
18056071J,07897480Q
18056469C,18851284R
18057172X,26634098Y
18058194C,76433292Z
18058471K,47783783H
18058528D,43116925K
18060232B,10574381Q
18060298P,76173744K
18065609Y,19119705N
18068508F,31976266X
18068696B,04369103T
18069167E,40625758F
18070341T,05030854H
18070840Q,39492307L
18070999Z,33132551Q
18071303L,93345798E
18073209Q,42049536Q
18074257Y,57783493H
18074567V,62419327H
18074638L,87460306T
18075806Z,21999345Y
18076184R,06543414Y
18079561C,31732868K
18080112L,90862810E
18081264K,38063864Z
18081280Z,77205435R
18082549H,11607695D
18083499W,17937203D
18084003T,36872468H
18084662S,19248632R
18085316W,64822655F
18087845R,54523012V
18089625X,74028323V
18090661B,27206106G
18091271T,01095070V
18091479R,54159215B
18091819L,74118064N
18092191T,05588115N
18093173Q,24076720K
18094624H,14713212C
18094759S,33043589H
18094877H,76928849J
18095743X,72340091P
18096823D,01543008F
18097603F,19483024T
18098049Q,46831871F
18099104J,91987094C
18101872K,54245056Q
18102160X,35695753Y
18102492C,46213345C
18103536Y,04253614V
18104443Q,90241504S
18106277X,15975405L
18106375Q,67564581B
18107833W,70300574Q
18107982J,32072496P
18109468G,32633154H
18110056V,46371070B
18110133W,81568704D
18111434S,32253771C
18111767A,40058767N
18114669F,43876816S
18115654A,36388480L
18116594T,34075132B
18116944M,45505692P
18117585W,00380542F
18118037V,57653089R
18119846D,21504799Y
18121237C,34335313Q
18121665B,54374201Q
18122010B,14154692D
18122411K,49056695H
18123104R,19897789Y
18125817T,27584211N
18126299E,05614084Z
18126728Z,61754710D
18126970A,20937204M
18127234Z,27665867H
18127381T,71233830R
18127628V,94049971G
18129160P,80245558F
18129668X,47660324T
18130289X,80097873M
18130472D,41046891X
18132947T,89744131V
18133427C,57872459C
18133541L,73799230G
18133543K,33101804C
18134952G,85742387C
18135315E,80170059V
18137958C,09622375A
18138142C,27631939S
18139470Z,57826582M
18140132D,96226429H
18142692Q,67247120L
18142746R,65925138P
18143385L,70562446X
18144037G,26282273N
18144762Q,78553409Z
18146737J,41139493Z
18147211G,06363074D
18147887J,30513965A
18148158P,31914023M
18148342P,09366045P
18148376L,30207004T
18148403T,70116116H
18148549P,40263831P
18149389C,39166762Q
18153354Y,12218545W
18155060X,26087750T
18156386W,64213788L
18156880J,83568459Y
18157775B,38026871M
18163613F,24742538N
18165160J,60774822J
18167157D,33398138E
18167339F,46981245L
18168269V,92404296W
18169390B,84411186J
18169907E,84290562R
18171028Q,38384664X
18171083W,38556395T
18175423H,13655446R
18177943P,44219577F
18178128D,14133830P
18178642V,52885743A
18180096E,77004682S
18180168W,01356242R
18181792Q,64503575Y
18182652W,53641223W
18186271X,35739051H
18186660P,40169065W
18188716V,92424724Y
18188808V,14608396S
18188832H,41379175J
18189249K,45178975Y
18190158X,90822496G
18191715A,04414686C
18192727A,92933666G
18192823F,17879803V
18193154Q,05936142A
18193518N,35153191Z
18193654X,38414750N
18194084A,32982856M
18194520W,11845986C
18195240D,65669109S
18195323T,38658535C
18195936S,69032745Q
18196031H,94673937A
18196853N,00032932L
18197036B,41981624T
18197362S,66105479Y
18198121S,06355274Y
18198928V,10636020S
18199797N,98224197Y
18200661W,38440032V
18203020S,45742782Z
18203031A,04997949A
18204014C,68906191P
18204128L,40369629Y
18205810E,43118444E
18207248B,43171066C
18207543F,76954726S
18208362K,85762582K
18209361P,60162965W
18210361L,34343603A
18210558D,57692442R
18212801K,73347445P
18214200V,75615790R
18215826X,37083825M
18216082J,21360228J
18218861D,57729949H
18219153W,69823864G
18219401C,49546597C
18220287D,24130002N
18220540D,91709761K
18225748L,86676231H
18226284A,96693267W
18226343Q,71832393N
18226852L,82109185J
18228166E,79594334M
18229688A,27002726J
18229967Y,93836654N
18230749Y,64732954Y
18232369Q,28003361X
18232824B,88322720Y
18234018D,83033351Q
18238715Z,89818298D
18240977E,67694686M
18242278N,55751733D
18242725E,40132339F
18245377Y,52226835E
18245664V,30617003R
18245977P,45358215F
18246015T,31955130B
18246717N,21392996Y
18246905Q,17780405W
18247152X,66326378J
18247582A,76078550R
18249204S,21737134H
18249234E,65835674Z
18249767A,20855397D
18250293T,20651220A
18250453E,99767839A
18250689M,69969939Y
18251299V,76159426D
18251351T,30045133A
18253249N,45388046F
18254286Z,01761008J
18254877F,12171933B
18256005P,82634887G
18256263J,88036687R
18257252J,90360591P
18257908W,34136162E
18258001A,38885232Y
18258942R,16239032C
18259144L,65322221J
18259198G,70519912A
18259667J,30230661J
18261971V,95906406V
18262243J,97042817K
18262725N,19630851Y
18264436K,83861887T
18264927Y,85960220C
18265332C,69797694P
18265371J,67919832G
18267469H,64972495W
18267794K,61198451M
18268225S,12269680P
18268294S,96949756H
18268424F,97663007Q
18268478S,90864101W
18269528F,60937945C
18269530D,70266579S
18269751T,62375015G
18270000L,18434550G
18270745M,33856117W
18272271J,38411974L
18272744A,22397648H
18274652W,71532251C
18276324H,38597597D
18281640K,39117674X
18282662P,46657796L
18283577A,25222382F
18283757E,72387813M
18286421H,84449838W
18288201G,76068955C
18288777M,52467153J
18289830T,28612868V
18289992R,40535600D
18293682B,05717312H
18294044M,77106797X
18295184H,33985348L
18296001F,00654812W
18296405C,34813754B
18297854C,13494879C
18298456R,55813796H
18298896G,79052103E
18300883J,61501768K
18301454D,15421522E
18302575A,39871191R
18305216E,85928345T
18305802X,78319437K
18306469X,62481090A
18306889Q,01179627A
18307003S,71680550S
18307102E,65746182S
18307179F,15860884S
18307648Q,95559470J
18308510G,21746395X
18308907X,61007404L
18309844G,10206605X
18310255R,60470536V
18310396G,30249995G
18311052Q,98295172A
18311255N,29217138P
18312010P,14742192C
18312508T,89178524A
18314220X,94811786J
18314315J,93213590H
18315149L,06176230V
18315461D,38395945K
18315986M,57644896L
18316865X,89759646F
18317865K,94721420Z
18318576L,60968133D
18320468W,74280654S
18321283N,31783920J
18324958F,12011984G
18326279V,78849881Q
18326808V,58714855H
18327125N,15446627B
18327158E,96111135T
18327440M,65122281N
18327574R,45751506K
18327761G,64786933G
18328451G,50918798H
18328564W,86846107Q
18329929X,55196461A
18331048W,40803320D
18331054P,50505289A
18331437T,51985534Z
18332059R,32169184G
18333209R,13607433N
18334154A,19434129A
18334372Z,07670498K
18334530B,85104854R
18336755M,37748342Y
18337046C,77140952X
18337870Q,91638397A
18339274V,45801995W
18339987V,59174846D
18340523R,51915020H
18340579B,72926187H
18340698S,96659778R
18341822N,86780047N
18342623P,92493791G
18343808C,27220908V
18344080Q,53401076K
18344302P,46833992N
18344597G,15219638D
18344737Y,40040256Q
18345685B,48215186X
18348795Q,04639734J
18349409D,57209242P
18349826N,23662990S
18350483W,58007677K
18350643R,14374047J
18351717V,34732616V
18352505T,70748848C
18353399C,01881325V
18354275E,79178558T
18354469D,91572738D
18356105N,59307046M
18356432V,03597263V
18357056C,88885607Z
18357070B,76742963J
18357548Y,57446356S
18358275C,88089100C
18358740W,35548914E
18359479M,18579453F
18360164T,08706383D
18360396W,28520361Q
18360757H,48321026G
18362759L,19839992P
18364920H,55174094S
18367695X,91751239F
18371125J,42052218F
18371297R,55985249Y
18371527R,98690431F
18371554M,37829784M
18371968M,07611050M
18373941T,69319150W
18374131Y,02634053R
18376194E,82901509X
18376902V,18578299A
18377326G,51667698S
18377851T,14393196A
18380709Y,71818578C
18380858V,58907814F
18382121S,24776891A
18382735P,17569694V
18383408Z,54113926D
18385127P,33963701S
18385699M,66398659M
18386527M,32708480L
18387004E,09047597H
18387726P,35592371D
18387828H,07346001P
18388333V,33178446A
18388558N,84632713G
18390608S,71802369A
18391082Y,46443491M
18391308W,31672719V
18393880K,05453279W
18395039F,50859047K
18396130V,27818103V
18396542S,12474764R
18396820V,74937342F
18398872E,22965982E
18399709P,24375015Y
18399939P,12058116K
18401739Z,34668481Y
18403325J,27501985B
18405418J,38658599S
18405560V,89545024K
18405688F,42523706H
18407057L,83749609P
18407139D,19213351W
18408345L,54386045S
18410697W,60094588G
18411307Z,95593861L
18414328E,20305802E
18415364T,06944153Q
18416752P,20183030R
18418918N,58891780G
18421273K,08419416J
18422244A,98002266W
18424521A,80106208Z
18424658W,70423473A
18424686F,62975231N
18426632K,51507697W
18429280R,92183241T
18430529P,59440967C
18431139C,59545410C
18431355Y,82696768S
18431569J,45341072E
18432106K,18084155Z
18434957C,36401715Y
18435039X,24717223C
18435368V,83654658R
18438249T,73751693P
18438851G,86237188E
18440062L,39161044W
18441846D,51782504M
18442465F,98665303H
18444287N,47152735K
18444571C,69053580J
18447075V,00117331P
18448308P,39323505Z
18448832A,86419905G
18449013T,31010601T
18449542T,89085119R
18449696Q,37913045Y
18451389F,43827171G
18452655P,61508804L
18452888B,86929522X
18453745V,39948913Y
18454415C,48317176H
18454434Q,38183342F
18455765J,21578822S
18457074B,29111217W
18459384K,63909509F
18459968F,35652359J
18460063X,49420239R
18462621S,22474335T
18463024G,29717319P
18463053X,97598394X
18464140Q,66307420F
18464290M,88583996W
18465007D,90284802G
18466355T,64886951H
18466675K,91279499C
18466719L,34636114T
18467354X,20098001A
18468338M,30960117R
18470177G,71575896B
18472348J,14239779L
18472639M,42607425V
18474868A,27452080Q
18475106B,50720187N
18475503V,19299713E
18475992T,12080405T
18477000L,65330634P
18480257X,00056820X
18483306T,22893018Z
18484053B,23190425P
18484559B,53867852N
18485845D,67564993D
18486399B,21527787V
18488474Q,05297568R
18490205E,32749403W
18492714R,88218869T
18493344X,59907244H
18493449T,71437860K
18493466V,13460727T
18494492P,25007525Q
18495169H,63180489H
18495965D,51369684N
18496608P,26632183T
18496830T,02105471M
18497756Y,75513316S
18498004R,34585633G
18498447F,47787094V
18498489A,51214783Q
18499282Z,73507967J
18501822R,86513601K
18502570J,23374924R
18502780Q,37573834E
18503398J,76109360Z
18503492S,64340575F
18505515Z,80883143D
18505818H,60437221Y
18506536T,15599990X
18506845X,99536485Y
18507196Q,16648965R
18507279F,32089400F
18507615K,07273370B
18509519Q,67069592M
18511601M,52265093P
18514031C,81029150N
18514387P,77077061J
18514617P,68740391S
18515300R,97869042V
18519265X,08863418T
18519681N,30494727Q
18520237Q,49727032C
18520710Y,23970181H
18521132Z,42171639N
18522295G,05362609K
18525379Y,23592087K
18525572S,79726352A
18525872Q,17414540K
18526032S,30901477B
18526111W,90815771H
18526967F,83136888F
18527027K,15270981Q
18528241Q,03137164X
18528967Y,24254380Y
18529285W,86268686X
18529762L,38770026F
18529777B,42614551J
18532677J,35921812K
18532946Y,10282722C
18533524D,90970581S
18534939K,43421521M
18535781N,68333647A
18536622W,74527284Q
18542819N,41023217A
18543149C,13458606H
18543560V,68219248Y
18545078V,70056169D
18545477W,33634904A
18546863P,93999178H
18548567X,84942928H
18550124A,92720100Q
18550313P,81322331N
18550788T,47448649V
18553168B,00958747S
18555172Z,14857429G
18555305D,63501433C
18555583B,25791640S
18557272K,62673164G
18563689K,41398065C
18564017G,35574196G
18564060R,84622176R
18565378P,51866425E
18567341Q,11277579N
18567511W,05652620W
18568858S,64469870L
18570496C,02421237G
18572108E,29164400D
18572212B,96837472C
18572631Q,25969231T
18572822T,31690298R
18573771Y,28717729K
18576582B,08990737Z
18579063P,29680495F
18579256V,57409523M
18581354E,98243655Y
18581891F,39426897K
18584531W,26660766V
18584949Y,81285880Q
18585337A,81006506T
18586505K,50442935W
18587386M,50537704B
18587404T,29369071A
18589930L,48908680P
18590639S,92154572N
18593255D,82719004X
18597769S,26673449G
18598437Q,18568237S
18598500X,74407107Z
18598769A,13481314W
18599158R,36487433A
18599339K,47938101Y
18599836N,23380822B
18601680Q,14126598K
18602727M,87957833Z
18603828W,14212241N
18603861N,21441909K
18604233Q,80661504K
18604570P,58616557E
18607131Q,43316912T
18607364L,78181565B
18609897E,20399074Y
18610258S,22837954N
18611377F,85809527T
18612502M,87939246B
18613109Z,05988391L
18613690C,59979356W
18613776Z,48166537Y
18614210B,95316755V
18614764J,26014967N
18615583G,75965173Z
18615851L,89924474V
18616472L,74520327M
18616660T,76154347J
18616947B,09127747J
18617265F,00570825B
18617805H,43487845C
18619566P,98086701G
18619728D,41420832V
18620915T,44760852T
18621744R,47532356G
18622006X,55260467T
18622013V,46229034T
18622377J,11720333Q
18622639E,58680170V
18623609A,48581727T
18624860N,20669068A
18625986B,94897946S
18626030D,96029890Z
18626352D,75509688K
18627445K,00697982R
18630378X,46235336T
18630390E,55859353N
18632948G,11621564D
18632968R,01354642B
18633142Z,12163698X
18633693J,17799410D
18633998L,28931825X
18634104X,32359526K
18634659J,97917688H
18635993J,69840351T
18636488W,75130502J
18636896L,87043761P
18636960Z,47046649B
18637009V,96519041R
18637967D,71744639A
18638246N,30164569T
18638511R,36123516S
18638985S,14822468A
18639639W,42667269S
18639740B,68549074N
18640747Y,92781395Q
18642446A,98105312P
18642776B,17088110F
18644750F,57056605E
18644792A,97751900Z
18647242S,60887215M
18647323G,72923257D
18647368A,10419693A
18649616C,87573980P
18649665T,06360535T
18650253J,21210793D
18650539T,63822112X
18653346R,34681914F
18653510G,56457120D
18653697F,63791774D
18653995Y,91596904W
18654717S,57765529V
18656716J,86741502S
18657099M,14658780Y
18659392K,52943274B
18662320M,50589069V
18665857T,32467448G
18668129H,57975214B
18670195Z,24393906Z
18670523C,03616087G
18674095G,58305188G
18676537P,55718376W
18676865Z,74569147L
18676866S,87041936T
18677703R,99522420V
18678171D,95689144J
18678534G,81262226Y
18679333K,90710569H
18679452W,60689450V
18679901Z,69525024A
18681678C,14822487E
18682035D,28224028S
18682436L,63798960L
18682934B,89931307L
18684166R,74956942B
18684809T,03066349N
18684940Q,88387343E
18685586H,29513309P
18686326E,40425923L
18686701Y,90602004J
18686945C,23070394Z
18687521K,12703020M
18687730T,07492554M
18689157R,07038545Q
18690714V,46654697W
18693845C,41812736R
18694660F,38270185W
18695008X,74899967F
18695346A,20256628E
18696445K,24661747C
18697614V,98955349B
18697901M,63217695X
18698477Y,42369514H
18699664C,37738390J
18699885B,41742883E
18701224Q,96466572H
18701527C,48616688R
18702419S,91693319R
18702783B,16763789D
18702836H,48927046C
18703915Q,71039049F
18703960S,62966466X
18704108W,27980115V
18706877B,46249150Z
18707551H,69103296A
18707732S,14705660N
18708512J,02877079D
18710457A,74746014Q
18711639N,61423641W
18711799B,00219217G
18712504A,75917270C
18714756R,55923398W
18714793S,24968160G
18718334Z,60889294Z
18719191C,85487716M
18719834L,39836885B
18720655N,41198816C
18722394A,90906314X
18722977B,82891949H
18723812H,51965681X
18724337Z,69616255Q
18724726N,08442876J
18725511S,18891659B
18725660A,16232626P
18726798Z,87055365C
18726850C,58614091V
18727002B,97605186V
18728674G,56860632D
18728927G,32838189P
18729673Z,21585292E
18729911E,54446175T
18730315N,97298669K
18730583G,18053543S
18731069F,50878604M
18731377Q,96020160J
18731594A,62603634A
18732220P,19762327Z
18732997A,76394182G
18733220L,83574511D
18734214R,44272298N
18735128H,80253058D
18736133B,31324051Y
18738048V,32801224G
18738271X,89912682R
18738590F,20602606B
18740565G,78152891H
18743670G,05208702F
18743709C,49734729N
18744604H,82124894J
18747494X,36576105X
18748017G,54099102C
18748307H,28212192R
18748583H,84005572G
18749618H,11356751H
18750403K,96261061N
18751191G,11081859E
18752586L,28495352P
18752631H,68091684T
18754333H,40010539S
18754684R,99375091A
18756607S,46342348Q
18760192N,14732433J
18760393Y,65781239C
18760433T,78738014K
18760914K,22384497T
18761165L,33346027Y
18764781R,20749484B
18766116W,93973062F
18766193X,09285779N
18766605P,70695842Y
18766718Y,85479733A
18766875W,93478498N
18767791K,84854820T
18770424D,52667064P
18771611T,92725398R
18774050R,95662267T
18774379P,55208704X
18775551F,06298615L
18775945X,70814459N
18777211B,37380486N
18778319S,41821829D
18780499X,21817315K
18781689G,99006113Z
18781998Z,34743551G
18782188C,90086289G
18782825J,37534370A
18783157T,64147015S
18783583N,02938628X
18784096L,21269123B
18784517A,04883222T
18784807V,29116081J
18786522F,44098076S
18786529Z,87044148G
18787082S,95707927M
18788006L,70180167Z
18788809V,72700545Y
18789759R,32697210L
18789962C,07092449P
18790750A,07186390V
18790890M,05963335X
18791549C,59412383W
18792416J,27406050D
18793706S,18069713Q
18795163T,41806027P
18798012C,06602308C
18798078V,47722520G
18799151D,27292798D
18799646K,20875724G
18799922K,61291840Z
18802938R,29174759H
18803079G,24010499V
18805616B,96155416Y
18806034S,83456721W
18806564Q,37392345A
18807571B,08029076Y
18811076C,13710562D
18811750G,54734124N
18813313A,78359190F
18814016Q,98990274E
18814123P,82303666Y
18814606P,43054688E
18817564E,84342801F
18818872L,93302241G
18819363G,30563563J
18819644D,61820935V
18819865T,70050139M
18820992T,54087812T
18822236W,45404969W
18824031A,77219466W
18825573G,22160671X
18827203R,17782230X
18827259B,32322691D
18828064B,97951872R
18828503J,49268420M
18828776X,77037021Q
18831577M,08292314D
18831836B,66214600S
18832465L,79850857D
18833745B,67357215J
18835666T,14645898G
18837539X,68261572X
18838562K,52536338Z
18840142Z,96070927L
18840302J,42846443L
18843009Y,06088668Q
18844046P,86650535J
18844648N,42987342C
18844667P,88081124W
18844849Y,80692788W
18845675G,41625181B
18845744G,23884414H
18845765W,72178688L
18846066G,07565827T
18846861V,61558944L
18847941Q,22590454S
18848340R,70445031X
18848765N,03962508E
18849978Y,73130829Y
18851758S,37671144L
18851781S,54984423W
18852195S,81507473G
18852552G,49723423E
18852744N,50091041P
18852863Q,39219755V
18853650K,86553208E
18854020T,84907465K
18854454C,89994443C
18855272X,59445844K
18855757N,55810444R
18856271C,03620977H
18856929B,34084927P
18857403W,32111916Y
18857965N,12308265E
18860466Y,65289424Z
18860526C,64905735B
18860796Z,38716488J
18861384G,45903928E
18861738J,53677619N
18862016S,00713698P
18862736E,98935184V
18864446F,94741380X
18865277X,04938354R
18865283Q,81117893K
18867501A,92323112P
18869980K,72477437K
18870038X,90098947N
18870186C,94686425W
18870318Z,22991434J
18870706B,12771187T
18870961J,34693811J
18871005B,23816083C
18871099J,97758327R
18872612P,39846671E
18873745Z,29949398V
18873942G,81395984L
18875281D,95466695C
18877562J,52028003W
18877648F,98384868E
18877762Y,59712325R
18881741Y,63402579C
18882177M,67279925A
18882599J,97363081X
18883569V,11194040D
18885428J,54884661Z
18885909B,37489827B
18888131W,18551297A
18889503V,33818945K
18890201W,13943543T
18890305Z,10648736N
18892789Z,80836734Z
18893063N,28686023D
18893785K,43575653Z
18895527S,60940369Y
18896657H,27461878Q
18898444B,15613526E
18903777P,33088828Q
18905018F,80786918Q
18905203P,75710059Q
18906336Z,16395477L
18907018Y,30532012H
18908136C,98996953P
18913516H,98652321P
18913750E,73414182E
18914303T,81823741E
18914315N,08274494Z
18915679L,90853415B
18916743W,31803111E
18919493S,13426511P
18920124W,11369124V
18920477X,47803168Z
18921405H,69236582G
18923942W,43523172L
18925198Q,45012024N
18925900M,44783455V
18926567M,35396802D
18927633J,14126199J
18928000N,73115273K
18928041F,22861642X
18928067X,97341458F
18934675V,60541344P
18935519X,01843087M
18937169G,44096478G
18939330A,84738639S
18940129C,57856566C
18940558N,57226921T
18942306N,54509022B
18943653W,73935284J
18944746Z,29722746F
18944791J,54252735J
18945288G,92759732L
18945689Z,27060405P
18947435N,90858496D
18948139A,50242443R
18948235F,11964494D
18948778K,61340110F
18948784G,48807746K
18949844Y,79724006A
18951336A,04013937T
18952283F,22969411R
18953209J,40636087D
18953664P,52853902V
18954086Q,89812488H
18954937Q,66760379G
18954980J,55588912M
18955271M,73939673D
18955498W,67515929G
18956095R,34427860B
18956384Z,38960914H
18957179G,18148245A
18957554B,63784032H
18958455S,79708119D
18959976H,32950450Y
18960216M,24404298X
18960218F,72128867Q
18960901T,90769140P
18962099W,86481080E
18962471Y,81544524W
18962682X,87238508Z
18962696R,24829940Z
18964959X,04539835A
18965513N,80389190G
18966287G,85342375R
18967716F,47440543F
18967936C,29581118J
18970853Q,71065044N
18970883T,97371461H
18971332N,39826098B
18971447N,05271425D
18971588S,52419132Q
18972657A,39878137R
18973141G,91274360X
18974741V,00860999V
18974840R,58197468Q
18975344E,29739530R
18975386H,95768139A
18979004W,90964892F
18979618H,50396123H
18979661S,49705579A
18980390P,52587022Y
18980640M,27664765C
18980778M,25756938C
18982349N,08569227W
18982821R,42239875F
18983067V,80591935G
18984847A,79048980G
18984874F,20167129Q
18985952G,69095783B
18986275M,63989745L
18986624D,72891090L
18986883S,00131806Q
18988199C,13133964K
18989032W,34976763L
18992119F,52954904A
18992333Z,22739132K
18992647Y,88298401K
18992842V,70815261D
18993250B,04924897E
18993738Q,70402124K
18993785V,38633040D
18993926C,29887385N
18994201L,10858767F
18995355T,58915029T
18996062V,68544073W
18996189Y,96945384Q
18996522V,42373194H
19001199W,65139767H
19001580S,07700880C
19002126D,31100345K
19005761X,29303885E
19008299H,65247373F
19008655Y,54409617N
19009123Z,61547750A
19013149S,47084433Y
19015287Z,83890089G
19016276Z,07111285F
19018041P,45284173W
19019063H,01948602L
19019911S,15407487V
19020052H,98072264B
19020521G,52798381H
19021848C,27409945V
19022321X,06995003J
19023413K,85214861E
19023498Z,34476627H
19024812V,90963803E
19026721V,44752409K
19028697S,31938657Y
19028880Z,16462508M
19029085N,72745783A
19031106D,98769126L
19031600C,66739475F
19032069Y,02369496J
19032874Y,20473767H
19033802Z,52476817V
19035090Z,92654281T
19035936D,37329605F
19037927E,27240505H
19039310W,39478520D
19039485Q,39004121P
19042184R,27515805P
19043027Q,91709958B
19044387L,68930190H
19046289N,16689475P
19048537Y,16131731Z
19048783E,33006015A
19048981J,34516562W
19049508B,66446405A
19050341Q,12692425J
19052290X,88904069F
19055341W,61644206C
19055412G,38245678J
19056458S,30951590F
19056816M,15147027D
19057236B,23001842W
19057575M,81105977L
19059808F,52623610R
19059819H,88335698N
19061396P,84042125X
19063129Q,78527649Z
19063591H,28113998V
19064842G,01322524R
19064874J,23384854H
19065516B,76092497X
19065795Z,91935718A
19067540B,38964989E
19068407G,80092129B
19068926V,54064100R
19068933R,50068516T
19070004Z,64180999M
19071401P,51944695T
